sample	cluster_joint_r0.3	cluster_joint_r0.5	cluster_joint_r0.8	cluster_joint_r4	tsne_x	tsne_y	modality
UMB5577_1_UMB5577_2_B10_AD004_rna	1	2	2	20	6.3694334	-6.941588	human_frontal_rna
UMB5577_1_UMB5577_2_B10_AD006_rna	7	8	9	13	3.9186225	5.722595	human_frontal_rna
UMB5577_1_UMB5577_2_B10_AD007_rna	8	9	10	40	-4.48399	-4.717684	human_frontal_rna
UMB5577_1_UMB5577_2_B10_AD008_rna	4	5	4	11	1.3138722	2.500955	human_frontal_rna
UMB5577_1_UMB5577_2_B10_AD010_rna	11	12	6	10	16.88354	2.6861203	human_frontal_rna
UMB5577_1_UMB5577_2_B10_AD012_rna	2	3	1	26	13.11337	-2.0526986	human_frontal_rna
UMB5577_1_UMB5577_2_B11_AD001_rna	1	2	2	14	5.944415	-9.327986	human_frontal_rna
UMB5577_1_UMB5577_2_B11_AD002_rna	2	1	1	27	9.10827	-4.4124036	human_frontal_rna
UMB5577_1_UMB5577_2_B11_AD004_rna	3	4	5	8	16.63289	9.570785	human_frontal_rna
UMB5577_1_UMB5577_2_B11_AD006_rna	1	1	3	7	9.311045	-6.2412233	human_frontal_rna
UMB5577_1_UMB5577_2_B11_AD007_rna	1	1	3	7	8.718915	-7.780185	human_frontal_rna
UMB5577_1_UMB5577_2_B11_AD008_rna	6	7	7	23	-2.579078	-6.8871174	human_frontal_rna
UMB5577_1_UMB5577_2_B11_AD010_rna	1	2	2	14	5.9451475	-9.91591	human_frontal_rna
UMB5577_1_UMB5577_2_B11_AD012_rna	6	7	7	29	-0.3750117	-10.002767	human_frontal_rna
UMB5577_1_UMB5577_2_B1_AD001_rna	1	2	3	25	6.561389	-6.725638	human_frontal_rna
UMB5577_1_UMB5577_2_B1_AD006_rna	5	6	8	22	9.270593	13.490971	human_frontal_rna
UMB5577_1_UMB5577_2_B1_AD007_rna	8	9	10	40	-2.872619	-5.67956	human_frontal_rna
UMB5577_1_UMB5577_2_B1_AD008_rna	1	2	2	14	5.6208396	-9.640668	human_frontal_rna
UMB5577_1_UMB5577_2_B1_AD010_rna	1	1	3	25	8.566729	-5.928393	human_frontal_rna
UMB5577_1_UMB5577_2_B1_AD012_rna	1	2	3	12	9.21277	-9.25352	human_frontal_rna
UMB5577_1_UMB5577_2_B2_AD001_rna	4	5	4	21	1.4004533	-0.38656887	human_frontal_rna
UMB5577_1_UMB5577_2_B2_AD002_rna	2	3	1	5	12.262396	-2.1408324	human_frontal_rna
UMB5577_1_UMB5577_2_B2_AD004_rna	4	5	4	15	3.7337053	0.22527641	human_frontal_rna
UMB5577_1_UMB5577_2_B2_AD006_rna	1	2	2	3	7.4226613	-8.167068	human_frontal_rna
UMB5577_1_UMB5577_2_B2_AD007_rna	9	10	11	39	-2.2378905	4.767479	human_frontal_rna
